OA,Pop_marr,Married,Civil,Mean_married
E00175854,187,18,0,0.0962566844919786
E00175855,218,14,2,0.07339449541284404
E00175856,152,12,0,0.07894736842105263
E00175857,134,26,0,0.19402985074626866
E00175858,138,49,0,0.35507246376811596
E00175859,156,23,0,0.14743589743589744
E00175860,262,55,0,0.2099236641221374
E00175861,171,68,0,0.39766081871345027
E00175862,167,50,0,0.2994011976047904
E00175863,185,9,0,0.04864864864864865
E00175864,240,29,2,0.12916666666666668
E00175865,199,10,5,0.07537688442211055
E00175866,169,9,3,0.07100591715976332
E00175867,163,8,2,0.06134969325153374
E00175868,128,9,1,0.078125
E00175869,211,18,0,0.08530805687203792
E00175870,163,13,0,0.07975460122699386
E00175871,229,28,0,0.1222707423580786
E00175872,243,36,3,0.16049382716049382
E00175873,214,37,0,0.17289719626168223
E00175874,169,29,0,0.17159763313609466
E00175875,464,14,0,0.03017241379310345
E00175876,190,53,0,0.2789473684210526
E00175877,199,48,0,0.24120603015075376
E00175878,260,77,1,0.3
E00175879,169,39,0,0.23076923076923078
E00175880,112,36,0,0.32142857142857145
E00175881,241,122,0,0.5062240663900415
E00175882,208,118,2,0.5769230769230769
E00175883,164,61,0,0.3719512195121951
E00175884,212,47,2,0.23113207547169812
E00175885,280,39,2,0.14642857142857144
E00175886,186,32,0,0.17204301075268819
E00175887,180,49,2,0.2833333333333333
E00175888,250,76,2,0.312
E00175889,258,51,0,0.19767441860465115
E00175890,207,61,0,0.2946859903381642
E00175891,211,63,0,0.2985781990521327
E00175892,241,68,2,0.29045643153526973
E00175893,186,63,4,0.3602150537634409
E00175894,172,55,0,0.31976744186046513
E00175895,397,67,0,0.16876574307304787
E00175896,227,38,0,0.16740088105726872
E00175897,240,73,0,0.30416666666666664
E00175898,224,61,0,0.27232142857142855
E00175899,189,50,0,0.26455026455026454
E00175900,235,74,0,0.3148936170212766
E00175901,185,86,0,0.4648648648648649
E00175902,247,70,0,0.2834008097165992
E00175903,254,110,2,0.4409448818897638
E00175904,306,163,2,0.5392156862745098
E00175905,186,13,0,0.06989247311827956
E00175906,169,21,0,0.1242603550295858
E00175907,299,35,2,0.12374581939799331
E00175908,286,58,9,0.23426573426573427
E00175909,280,44,0,0.15714285714285714
E00175910,177,13,0,0.07344632768361582
E00175911,188,47,2,0.26063829787234044
E00175912,253,59,2,0.24110671936758893
E00175913,136,34,0,0.25
E00175914,207,39,2,0.19806763285024154
E00175915,220,16,2,0.08181818181818182
E00175916,254,34,0,0.13385826771653545
E00175917,223,33,2,0.15695067264573992
E00175918,202,47,2,0.24257425742574257
E00175919,207,35,3,0.18357487922705315
E00175920,249,48,3,0.20481927710843373
E00175921,158,17,2,0.12025316455696203
E00175922,178,30,0,0.16853932584269662
E00175923,143,32,2,0.23776223776223776
E00175924,195,94,0,0.48205128205128206
E00175925,239,58,0,0.24267782426778242
E00175926,212,101,0,0.47641509433962265
E00175927,269,119,0,0.4423791821561338
E00175928,238,26,0,0.1092436974789916
E00175929,416,58,1,0.14182692307692307
E00175930,123,39,0,0.3170731707317073
E00175931,125,9,0,0.072
E00175932,221,64,0,0.2895927601809955
E00175933,104,17,0,0.16346153846153846
E00175934,262,26,2,0.10687022900763359
E00175935,242,74,6,0.3305785123966942
E00175936,151,47,0,0.31125827814569534
E00175937,246,17,2,0.07723577235772358
E00175938,107,8,0,0.07476635514018691
E00175939,85,33,0,0.38823529411764707
E00175940,254,143,0,0.562992125984252
E00175941,246,102,0,0.4146341463414634
E00175942,969,80,3,0.08565531475748193
E00175943,294,151,1,0.5170068027210885
E00175944,260,141,2,0.55
E00175945,204,25,0,0.12254901960784313
E00175946,165,19,0,0.11515151515151516
E00175947,255,29,1,0.11764705882352941
E00175948,155,44,0,0.2838709677419355
E00175949,328,145,0,0.4420731707317073
E00175950,245,111,0,0.4530612244897959
E00175951,252,114,0,0.4523809523809524
E00175952,459,52,4,0.12200435729847495
E00175953,185,61,4,0.35135135135135137
E00175954,234,86,2,0.37606837606837606
E00175955,226,87,2,0.3938053097345133
E00175956,148,57,0,0.38513513513513514
E00175957,714,6,0,0.008403361344537815
