OA,Pop_econ,unempl,student,inactive,sum_no_income,mean_no_income
E00026080,210,2,8,27,37,0.1761904761904762
E00026081,198,5,7,39,51,0.25757575757575757
E00026082,214,7,6,35,48,0.22429906542056074
E00026083,206,3,4,38,45,0.21844660194174756
E00026084,223,2,3,36,41,0.18385650224215247
E00026085,154,2,4,30,36,0.23376623376623376
E00026086,204,2,7,41,50,0.24509803921568626
E00026087,298,13,13,56,82,0.2751677852348993
E00026088,242,3,5,35,43,0.17768595041322313
E00026089,227,1,6,40,47,0.20704845814977973
E00026090,284,12,7,47,66,0.2323943661971831
E00026091,273,5,2,62,69,0.25274725274725274
E00026092,150,3,2,66,71,0.47333333333333333
E00026093,223,4,5,71,80,0.35874439461883406
E00026094,223,3,6,46,55,0.24663677130044842
E00026095,227,14,5,63,82,0.36123348017621143
E00026096,213,15,6,76,97,0.45539906103286387
E00026097,249,5,8,52,65,0.26104417670682734
E00026098,244,9,3,34,46,0.1885245901639344
E00026099,215,8,2,64,74,0.34418604651162793
E00026100,345,12,17,37,66,0.19130434782608696
E00026101,218,9,7,64,80,0.3669724770642202
E00026102,236,3,3,39,45,0.1906779661016949
E00026103,208,7,6,35,48,0.23076923076923078
E00026104,219,7,8,41,56,0.2557077625570776
E00026105,217,4,6,32,42,0.1935483870967742
E00026106,196,2,2,36,40,0.20408163265306123
E00026107,241,7,7,44,58,0.24066390041493776
E00026108,140,7,4,66,77,0.55
E00026109,330,11,12,50,73,0.22121212121212122
E00026110,210,14,3,79,96,0.45714285714285713
E00026111,175,3,7,37,47,0.26857142857142857
E00026112,314,2,10,39,51,0.1624203821656051
E00026113,337,13,8,42,63,0.18694362017804153
E00026114,326,11,11,39,61,0.18711656441717792
E00026115,248,4,4,51,59,0.23790322580645162
E00026116,144,4,3,33,40,0.2777777777777778
E00026117,170,5,8,35,48,0.2823529411764706
E00026118,234,10,5,47,62,0.26495726495726496
E00026119,234,4,13,32,49,0.2094017094017094
E00026120,254,5,4,44,53,0.20866141732283464
E00026121,287,13,10,52,75,0.2613240418118467
E00026122,200,3,8,40,51,0.255
E00026123,269,7,7,49,63,0.2342007434944238
E00026124,268,3,6,28,37,0.13805970149253732
E00026125,262,5,6,28,39,0.14885496183206107
E00026126,230,11,5,47,63,0.27391304347826084
E00026127,267,10,13,65,88,0.3295880149812734
E00026128,283,34,14,107,155,0.5477031802120141
E00026129,276,26,5,101,132,0.4782608695652174
E00026130,247,14,10,106,130,0.5263157894736842
E00026131,225,7,4,52,63,0.28
E00026132,279,27,7,103,137,0.4910394265232975
E00026133,199,8,4,50,62,0.31155778894472363
E00026134,211,13,11,67,91,0.4312796208530806
E00026136,325,19,9,109,137,0.42153846153846153
E00026137,335,14,11,104,129,0.3850746268656716
E00026138,96,9,0,45,54,0.5625
E00026139,223,9,11,88,108,0.484304932735426
E00026140,247,8,5,81,94,0.3805668016194332
E00026141,186,7,4,68,79,0.42473118279569894
E00026142,164,9,8,71,88,0.5365853658536586
E00026143,216,10,7,82,99,0.4583333333333333
E00026144,243,14,9,74,97,0.3991769547325103
E00026145,188,19,2,80,101,0.5372340425531915
E00026146,203,16,2,65,83,0.4088669950738916
E00026147,326,14,22,118,154,0.4723926380368098
E00026148,189,11,9,72,92,0.48677248677248675
E00026149,236,12,6,72,90,0.3813559322033898
E00026150,239,15,12,101,128,0.5355648535564853
E00026151,288,11,8,94,113,0.3923611111111111
E00026152,220,11,10,89,110,0.5
E00026153,274,23,11,106,140,0.5109489051094891
E00026154,227,12,3,100,115,0.5066079295154186
E00026155,281,14,11,90,115,0.4092526690391459
E00026156,122,7,2,60,69,0.5655737704918032
E00026157,203,21,4,83,108,0.5320197044334976
E00026158,294,25,13,115,153,0.5204081632653061
E00026159,323,22,21,109,152,0.47058823529411764
E00026160,258,23,19,97,139,0.5387596899224806
E00026161,258,19,17,86,122,0.4728682170542636
E00026162,258,16,11,125,152,0.5891472868217055
E00026163,264,16,15,106,137,0.5189393939393939
E00026164,382,32,22,160,214,0.5602094240837696
E00026165,245,10,15,128,153,0.6244897959183674
E00026166,155,12,7,69,88,0.567741935483871
E00026167,303,15,13,133,161,0.5313531353135313
E00026168,231,8,9,66,83,0.3593073593073593
E00026169,206,6,7,40,53,0.25728155339805825
E00026170,235,6,4,46,56,0.23829787234042554
E00026171,251,7,3,49,59,0.2350597609561753
E00026172,274,6,6,35,47,0.17153284671532848
E00026173,240,8,3,90,101,0.42083333333333334
E00026174,153,2,3,29,34,0.2222222222222222
E00026175,181,11,5,56,72,0.39779005524861877
E00026176,214,15,10,66,91,0.4252336448598131
E00026177,247,1,23,51,75,0.30364372469635625
E00026178,235,3,8,49,60,0.2553191489361702
E00026179,199,8,4,58,70,0.35175879396984927
E00026180,179,1,3,34,38,0.2122905027932961
E00026181,237,1,14,66,81,0.34177215189873417
E00026182,210,6,4,83,93,0.44285714285714284
E00026183,319,5,9,75,89,0.27899686520376177
E00026184,186,6,4,46,56,0.3010752688172043
E00026185,269,5,9,65,79,0.2936802973977695
E00026186,264,8,13,65,86,0.32575757575757575
E00026187,311,16,9,44,69,0.22186495176848875
E00026188,254,3,9,51,63,0.24803149606299213
E00026189,274,4,14,67,85,0.3102189781021898
E00026190,246,8,4,49,61,0.24796747967479674
E00026191,180,3,6,38,47,0.2611111111111111
E00026192,254,8,8,45,61,0.24015748031496062
E00026193,220,5,7,32,44,0.2
E00026194,300,3,12,37,52,0.17333333333333334
E00026195,216,5,2,32,39,0.18055555555555555
E00026196,190,2,4,47,53,0.2789473684210526
E00026197,190,6,6,48,60,0.3157894736842105
E00026198,289,10,5,47,62,0.21453287197231835
E00026199,277,7,14,79,100,0.36101083032490977
E00026200,211,7,7,50,64,0.3033175355450237
E00026201,216,2,5,27,34,0.1574074074074074
E00026202,261,9,12,61,82,0.31417624521072796
E00026203,213,3,2,56,61,0.2863849765258216
E00026204,309,7,68,99,174,0.5631067961165048
E00026205,238,13,9,63,85,0.35714285714285715
E00026206,218,3,6,48,57,0.26146788990825687
E00026207,233,3,3,65,71,0.30472103004291845
E00026208,408,13,14,82,109,0.26715686274509803
E00026209,265,11,13,71,95,0.3584905660377358
E00026210,189,4,6,38,48,0.25396825396825395
E00026211,237,5,10,60,75,0.31645569620253167
E00026212,277,7,13,63,83,0.2996389891696751
E00026213,215,5,11,62,78,0.3627906976744186
E00026214,184,4,7,78,89,0.483695652173913
E00026215,205,5,8,38,51,0.24878048780487805
E00026216,233,4,7,48,59,0.2532188841201717
E00026217,208,4,4,51,59,0.28365384615384615
E00026218,232,15,13,98,126,0.5431034482758621
E00026219,245,23,31,93,147,0.6
E00026220,239,12,5,60,77,0.32217573221757323
E00026221,213,14,8,94,116,0.5446009389671361
E00026222,389,30,30,96,156,0.40102827763496146
E00026223,314,28,15,115,158,0.5031847133757962
E00026224,354,30,17,142,189,0.5338983050847458
E00026225,402,30,25,214,269,0.6691542288557214
E00026226,377,12,69,185,266,0.7055702917771883
E00026227,176,13,5,88,106,0.6022727272727273
E00026228,325,6,45,142,193,0.5938461538461538
E00026230,287,8,15,97,120,0.4181184668989547
E00026231,200,14,8,73,95,0.475
E00026232,183,9,10,44,63,0.3442622950819672
E00026233,299,16,17,115,148,0.49498327759197325
E00026234,285,23,20,100,143,0.5017543859649123
E00026235,435,21,50,206,277,0.6367816091954023
E00026236,151,11,7,67,85,0.5629139072847682
E00026237,211,13,8,51,72,0.3412322274881517
E00026238,333,11,11,127,149,0.44744744744744747
E00026239,428,32,45,146,223,0.5210280373831776
E00026241,301,28,29,131,188,0.6245847176079734
E00026242,281,18,15,120,153,0.5444839857651246
E00026243,306,16,15,125,156,0.5098039215686274
E00026244,155,8,7,71,86,0.5548387096774193
E00026245,413,20,36,122,178,0.43099273607748184
E00026246,297,22,20,105,147,0.494949494949495
E00026247,233,19,8,78,105,0.45064377682403434
E00026248,414,15,38,127,180,0.43478260869565216
E00026250,218,24,12,91,127,0.5825688073394495
E00026251,570,5,186,343,534,0.9368421052631579
