OA,Pop,mean_age_OA,Mean,sd_age_OA,SD
E00026822,436,35.91284403669725,35.91284403669725,22.653952895199506,22.653952895199506
E00026823,435,33.213793103448275,33.213793103448275,20.9885374269183,20.9885374269183
E00026824,417,27.05275779376499,27.05275779376499,19.21468034325835,19.21468034325835
E00026825,263,32.26235741444867,32.26235741444867,18.395039297518874,18.395039297518874
E00026826,369,36.11924119241193,36.11924119241193,23.522003654969215,23.522003654969215
E00026827,350,38.33428571428571,38.33428571428571,22.725589162515963,22.725589162515963
E00026828,406,36.33251231527094,36.33251231527094,23.257979426554247,23.257979426554247
E00026829,327,39.61162079510704,39.61162079510704,23.774482108180706,23.774482108180706
E00026830,403,36.42928039702233,36.42928039702233,22.509739986437044,22.509739986437044
E00026831,298,42.66107382550336,42.66107382550336,23.613952422484612,23.613952422484612
E00026832,364,36.357142857142854,36.357142857142854,18.534278527082737,18.534278527082737
E00026833,431,34.31090487238979,34.31090487238979,16.667496481077876,16.667496481077876
E00026834,337,35.56379821958457,35.56379821958457,19.056219952129158,19.056219952129158
E00026835,321,33.98753894080997,33.98753894080997,17.4969595712158,17.4969595712158
E00026837,262,29.84732824427481,29.84732824427481,16.880001671679548,16.880001671679548
E00026838,264,36.86742424242424,36.86742424242424,20.11907139120563,20.11907139120563
E00026840,178,35.91573033707865,35.91573033707865,16.61694322088052,16.61694322088052
E00026841,346,40.59826589595376,40.59826589595376,20.742811498642723,20.742811498642723
E00026842,440,32.71363636363636,32.71363636363636,21.100363175890674,21.100363175890674
E00026843,359,32.136490250696376,32.136490250696376,17.974866995701884,17.974866995701884
E00026844,321,33.95015576323988,33.95015576323988,19.89010451928702,19.89010451928702
E00026845,433,37.52193995381062,37.52193995381062,20.6113754982915,20.6113754982915
E00026846,324,35.23148148148148,35.23148148148148,21.739353743936142,21.739353743936142
E00026847,336,36.586309523809526,36.586309523809526,21.962212936905942,21.962212936905942
E00026848,414,27.345410628019323,27.345410628019323,16.92309955354684,16.92309955354684
E00026849,424,34.1061320754717,34.1061320754717,21.654400458924506,21.654400458924506
E00026850,465,33.696774193548386,33.696774193548386,19.53104542162047,19.53104542162047
E00026851,425,34.67058823529412,34.67058823529412,20.829716297181953,20.829716297181953
E00026852,389,31.655526992287918,31.655526992287918,19.816285126867133,19.816285126867133
E00026854,522,31.444444444444443,31.444444444444443,18.3569265974823,18.3569265974823
E00026855,330,33.43333333333333,33.43333333333333,20.45107092367109,20.45107092367109
E00026856,291,34.77319587628866,34.77319587628866,17.412147060842244,17.412147060842244
E00026857,410,34.860975609756096,34.860975609756096,21.243556515385713,21.243556515385713
E00026858,369,37.56639566395664,37.56639566395664,21.543347562570684,21.543347562570684
E00026859,101,49.23762376237624,49.23762376237624,25.003659138154752,25.003659138154752
E00026860,317,36.82334384858044,36.82334384858044,22.974539241087175,22.974539241087175
E00026861,368,30.5625,30.5625,19.54458066869142,19.54458066869142
E00026862,373,29.249329758713138,29.249329758713138,15.217404114711195,15.217404114711195
E00026863,362,30.505524861878452,30.505524861878452,16.54763031718858,16.54763031718858
E00026864,358,34.30167597765363,34.30167597765363,21.214485497940654,21.214485497940654
E00026865,425,35.33882352941176,35.33882352941176,21.887319140970416,21.887319140970416
E00026866,347,30.6685878962536,30.6685878962536,17.016898062705216,17.016898062705216
E00026867,322,29.17391304347826,29.17391304347826,15.103821479005687,15.103821479005687
E00026868,235,39.706382978723404,39.706382978723404,23.71183306831292,23.71183306831292
E00026869,253,32.69960474308301,32.69960474308301,18.266454851969097,18.266454851969097
E00026870,399,27.142857142857142,27.142857142857142,15.20073863773755,15.20073863773755
E00026871,405,34.14074074074074,34.14074074074074,20.11532208586931,20.11532208586931
E00026872,387,33.43669250645995,33.43669250645995,20.982425348088448,20.982425348088448
E00026873,387,30.385012919896642,30.385012919896642,18.672500150011096,18.672500150011096
E00026874,395,34.33924050632911,34.33924050632911,21.247068580855412,21.247068580855412
E00026875,301,28.64784053156146,28.64784053156146,15.420621593215744,15.420621593215744
E00026876,425,31.771764705882354,31.771764705882354,19.746080407360346,19.746080407360346
E00026877,617,29.649918962722854,29.649918962722854,18.682427263807245,18.682427263807245
E00026878,502,30.743027888446214,30.743027888446214,17.069182382902163,17.069182382902163
E00026879,440,30.10909090909091,30.10909090909091,18.54863481191525,18.54863481191525
E00026880,414,34.94927536231884,34.94927536231884,20.116966372576474,20.116966372576474
E00026881,325,31.53846153846154,31.53846153846154,17.552985855422026,17.552985855422026
E00026882,279,38.94982078853047,38.94982078853047,22.059052326337895,22.059052326337895
E00026883,339,32.92920353982301,32.92920353982301,20.631616807358277,20.631616807358277
E00026884,351,31.247863247863247,31.247863247863247,21.400763397427497,21.400763397427497
E00026885,287,38.8815331010453,38.8815331010453,20.570021309234523,20.570021309234523
E00026886,297,41.32996632996633,41.32996632996633,23.44830882650573,23.44830882650573
E00026887,275,36.04,36.04,22.90065501246634,22.90065501246634
E00026888,318,33.801886792452834,33.801886792452834,19.672597706701833,19.672597706701833
E00026889,386,37.056994818652846,37.056994818652846,21.446929130466366,21.446929130466366
E00026890,348,35.7183908045977,35.7183908045977,21.14083434829223,21.14083434829223
E00026891,228,45.6140350877193,45.6140350877193,23.590115443590673,23.590115443590673
E00026892,275,26.578181818181818,26.578181818181818,11.597739065295245,11.597739065295245
E00026893,498,25.893574297188756,25.893574297188756,11.174071690497069,11.174071690497069
E00026894,492,22.258130081300813,22.258130081300813,8.492744894588052,8.492744894588052
E00026895,306,32.372549019607845,32.372549019607845,21.50116500173923,21.50116500173923
E00026896,280,28.353571428571428,28.353571428571428,18.786481491773753,18.786481491773753
E00026897,450,23,23,9.794321340054626,9.794321340054626
